status	url	final_url	reviewed_at	reviewed_by	review_notes
200	http://dhss.alaska.gov/dhcs/Pages/default.aspx	https://health.alaska.gov/en/division-of-health-care-services/			
200	http://dhss.alaska.gov/dhcs/Pages/denalikidcare/default.aspx	https://health.alaska.gov/en/division-of-health-care-services/			
200	http://dhss.alaska.gov/dpa/Pages/snap/default.aspx	https://health.alaska.gov/en/division-of-public-assistance/			
200	https://ahca.myflorida.com/	https://ahca.myflorida.com/			
200	https://aspe.hhs.gov/topics/poverty-economic-mobility/poverty-guidelines	https://aspe.hhs.gov/topics/poverty-economic-mobility/poverty-guidelines			
200	https://azdor.gov	https://azdor.gov/			
200	https://cdhs.colorado.gov/snap	https://cdhs.colorado.gov/snap			
200	https://chip.utah.gov/	https://chip.utah.gov/			
200	https://chip.wv.gov/	https://chip.wv.gov/			
200	https://comptroller.texas.gov	https://comptroller.texas.gov/			
404	https://coverva.dmas.virginia.gov/learn/programs/famis	https://coverva.dmas.virginia.gov/learn/programs/famis			
200	https://dcf.vermont.gov/benefits/3SquaresVT	https://dcf.vermont.gov/benefits/3SquaresVT			
403	https://des.az.gov/services/basic-needs/food-assistance/nutrition-assistance	https://des.az.gov/services/basic-needs/food-assistance/nutrition-assistance			
404	https://dfs.wyo.gov/assistance-programs/food-and-nutrition/	https://dfs.wyo.gov/assistance-programs/food-and-nutrition/			
200	https://dhcf.dc.gov/	https://dhcf.dc.gov/			
404	https://dhcf.dc.gov/page/dc-healthy-families	https://dhcf.dc.gov/page/dc-healthy-families			
200	https://dhcfp.nv.gov/	https://www.nevadamedicaid.nv.gov/			
404	https://dhhr.wv.gov/bcf/Services/Pages/SNAP.aspx	https://dhhr.wv.gov/bcf/Services/Pages/SNAP.aspx			
200	https://dhhr.wv.gov/bms/	https://dhhr.wv.gov/bms/Pages/default.aspx			
404	https://dhhs.ne.gov/Pages/Economic-Assistance-SNAP.aspx	https://dhhs.ne.gov/Pages/Economic-Assistance-SNAP.aspx			
404	https://dhhs.ne.gov/Pages/Kids-Connection.aspx	https://dhhs.ne.gov/Pages/Kids-Connection.aspx			
404	https://dhhs.ne.gov/Pages/Medicaid.aspx	https://dhhs.ne.gov/Pages/Medicaid.aspx			
200	https://dhr.alabama.gov/services/food-assistance/	https://dhr.alabama.gov/food-assistance/			
404	https://dhs.dc.gov/service/snap-food-stamps	https://dhs.dc.gov/service/snap-food-stamps			
404	https://dhs.georgia.gov/services/food-stamps	https://dhs.georgia.gov/services/food-stamps			
200	https://dhs.maryland.gov/food-supplement-program/	https://dhs.maryland.gov/supplemental-nutrition-assistance-program/			
200	https://dhs.ri.gov/programs-and-services/supplemental-nutrition-assistance-program-snap	https://dhs.ri.gov/programs-and-services/supplemental-nutrition-assistance-program-snap			
999	https://dhss.delaware.gov/dhss/dhcq/dhcp.html	https://dhss.delaware.gov/dhss/dhcq/dhcp.html			
999	https://dhss.delaware.gov/dhss/dmma/	https://dhss.delaware.gov/dhss/dmma/			
999	https://dhss.delaware.gov/dss/foodstamps.html	https://dhss.delaware.gov/dss/foodstamps.html			
200	https://dor.georgia.gov	https://dor.georgia.gov/			
200	https://dor.mo.gov	https://dor.mo.gov/			
200	https://dor.sc.gov	https://dor.sc.gov/			
200	https://dor.sd.gov	https://dor.sd.gov/			
200	https://dor.wa.gov	https://dor.wa.gov/			
404	https://dphhs.mt.gov/HealthyMontanaKids	https://dphhs.mt.gov/HealthyMontanaKids			
200	https://dphhs.mt.gov/MontanaHealthcarePrograms	https://dphhs.mt.gov/MontanaHealthcarePrograms/			
200	https://dphhs.mt.gov/hcsd/snap	https://dphhs.mt.gov/hcsd/snap			
404	https://dss.mo.gov/fsd/food-stamps/	https://dss.mo.gov/fsd/food-stamps/			
200	https://dss.mo.gov/mhd/	https://mydss.mo.gov/mhd			
404	https://dss.mo.gov/mhd/participants/pages/mhdkids.htm	https://dss.mo.gov/mhd/participants/pages/mhdkids.htm			
404	https://dss.sc.gov/snap/	https://dss.sc.gov/snap/			
404	https://dss.sd.gov/foodstamps/	https://dss.sd.gov/foodstamps/			
200	https://dss.sd.gov/medicaid/	https://dss.sd.gov/medicaid/			
404	https://dwss.nv.gov/Health_Care/Nevada_Check_Up/	https://www.dss.nv.gov/Health_Care/Nevada_Check_Up/			
404	https://dwss.nv.gov/SNAP/SNAP_Home/	https://www.dss.nv.gov/SNAP/SNAP_Home/			
404	https://eohhs.ri.gov/consumer/medicaid-information	https://eohhs.ri.gov/consumer/medicaid-information			
200	https://floridarevenue.com	https://floridarevenue.com/Pages/default.aspx			
200	https://hcpf.colorado.gov/	https://hcpf.colorado.gov/			
200	https://hcpf.colorado.gov/child-health-plan-plus	https://hcpf.colorado.gov/chp			
200	https://health.maryland.gov/mmcp/Pages/Home.aspx	https://health.maryland.gov/mmcp/Pages/Home.aspx			
200	https://health.maryland.gov/mmcp/chp/	https://health.maryland.gov/mmcp/chp/Pages/Home.aspx			
200	https://health.wyo.gov/healthcarefin/kidcare/	https://health.wyo.gov/kidcare/			
200	https://health.wyo.gov/healthcarefin/medicaid/	https://health.wyo.gov/healthcarefin/medicaid/			
404	https://healthandwelfare.idaho.gov/services-programs/food-assistance/food-stamps-snap	https://healthandwelfare.idaho.gov/services-programs/food-assistance/food-stamps-snap			
200	https://healthandwelfare.idaho.gov/services-programs/medicaid-health	https://healthandwelfare.idaho.gov/services-programs/medicaid-health			
200	https://hfs.illinois.gov/medicalclients.html	https://hfs.illinois.gov/medicalclients.html			
404	https://hfs.illinois.gov/medicalclients/allkids.html	https://hfs.illinois.gov/medicalclients/allkids.html			
200	https://hhs.iowa.gov/medicaid	https://hhs.iowa.gov/medicaid			
404	https://hhs.iowa.gov/programs/welcome-iowa-hawki	https://hhs.iowa.gov/programs/welcome-iowa-hawki			
404	https://hhs.iowa.gov/programs/welcome-iowa-snap	https://hhs.iowa.gov/programs/welcome-iowa-snap			
200	https://humanservices.arkansas.gov/about-dhs/dco/programs-services/arkids-first/	https://humanservices.arkansas.gov/divisions-shared-services/medical-services/healthcare-programs/arkids/arkids-first-espanol/			
200	https://humanservices.arkansas.gov/divisions-shared-services/county-operations/programs-services/snap/	https://humanservices.arkansas.gov/divisions-shared-services/county-operations/supplemental-nutrition-assistance-snap/			
200	https://humanservices.arkansas.gov/divisions-shared-services/medical-services/	https://humanservices.arkansas.gov/divisions-shared-services/medical-services/			
404	https://humanservices.hawaii.gov/bessd/snap-2/	https://humanservices.hawaii.gov/bessd/snap-2/			
200	https://jfs.ohio.gov/family-services-and-assistance/cash-and-food-assistance/food-assistance	https://jfs.ohio.gov/family-services-and-assistance/cash-and-food-assistance/food-assistance			
200	https://jobs.utah.gov/customereducation/services/foodstamps/index.html	https://jobs.utah.gov/customereducation/services/foodstamps/index.html			
403	https://kancare.ks.gov/	https://www.kancare.ks.gov/			
200	https://kynect.ky.gov/benefits/	https://kynect.ky.gov/benefits/s/?language=en_US			
200	https://ldh.la.gov/page/lachip	https://ldh.la.gov/page/lachip			
